Product Name,Printing,Condition,Rarity,Number,Market Price,source,scrape_date
Sandshrew ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Common,027/165,$0.17,sv-scarlet-and-violet-151,2024-10-29
Sandslash ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Uncommon,028/165,$0.12,sv-scarlet-and-violet-151,2024-10-29
Scyther ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Uncommon,123/165,$2.76,sv-scarlet-and-violet-151,2024-10-29
Seadra ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Uncommon,117/165,$0.13,sv-scarlet-and-violet-151,2024-10-29
Seaking ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Uncommon,119/165,$0.99,sv-scarlet-and-violet-151,2024-10-29
Seel ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Common,086/165,$0.12,sv-scarlet-and-violet-151,2024-10-29
Shellder ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Common,090/165,$0.13,sv-scarlet-and-violet-151,2024-10-29
Slowbro ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Uncommon,080/165,$0.14,sv-scarlet-and-violet-151,2024-10-29
Slowpoke ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Common,079/165,$0.16,sv-scarlet-and-violet-151,2024-10-29
Snorlax ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Uncommon,143/165,$2.34,sv-scarlet-and-violet-151,2024-10-29
Spearow ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Common,021/165,$0.46,sv-scarlet-and-violet-151,2024-10-29
Squirtle - 007/165 ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Common,007/165,$0.23,sv-scarlet-and-violet-151,2024-10-29
Squirtle - 007/165 (Cosmos Holo) (Costco Exclusive) ,Holofoil,Near Mint,Common,007/165,$7.95,sv-scarlet-and-violet-151,2024-10-29
Squirtle - 170/165 ,Holofoil,"Condition:
Near Mint",Illustration Rare,170/165,$32.42,sv-scarlet-and-violet-151,2024-10-29
Starmie ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Rare,121/165,$0.43,sv-scarlet-and-violet-151,2024-10-29
Staryu ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Common,120/165,$0.15,sv-scarlet-and-violet-151,2024-10-29
Switch - 206/165 ,Holofoil,"Condition:
Near Mint",Hyper Rare,206/165,$3.58,sv-scarlet-and-violet-151,2024-10-29
Tangela - 114/165 ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Common,114/165,$0.14,sv-scarlet-and-violet-151,2024-10-29
Tangela - 178/165 ,Holofoil,"Condition:
Near Mint",Illustration Rare,178/165,$7.70,sv-scarlet-and-violet-151,2024-10-29
Tauros ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Uncommon,128/165,$1.48,sv-scarlet-and-violet-151,2024-10-29
Tentacool ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Common,072/165,$0.13,sv-scarlet-and-violet-151,2024-10-29
Tentacruel ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Uncommon,073/165,$0.15,sv-scarlet-and-violet-151,2024-10-29
Vaporeon ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Rare,134/165,$0.85,sv-scarlet-and-violet-151,2024-10-29
Venomoth ,"Printing:
Reverse Holofoil","Condition:
Near Mint",Uncommon,049/165,$0.14,sv-scarlet-and-violet-151,2024-10-29
